,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1990,white,1.8562979903656263,-0.843970070294529,0.27,0.09531017980432493,-2.9187712324178627,1.6094379124341003,110.0,0.9939,3.24,-0.6539264674066639,9.1,4
1991,white,2.028148247292285,-1.6094379124341003,0.3,2.653241964607215,-2.8824035882469876,3.970291913552122,212.5,0.999,3.14,-0.7765287894989963,8.9,8
1992,white,1.9459101490553132,-2.120263536200091,0.28,1.840549633397487,-2.864704011147587,2.833213344056216,103.0,0.9957,3.5,-0.8209805520698302,9.6,5
1993,white,2.0014800002101243,-1.2039728043259361,0.22,1.6582280766035324,-2.9374633654300153,3.4965075614664802,180.0,0.9926,3.13,-0.7985076962177716,11.6,6
1994,white,1.9459101490553132,-1.2729656758128873,0.33,2.681021528714291,-3.146555163288575,3.8501476017100584,168.0,0.9994,3.34,-0.40047756659712525,8.8,6
1995,white,2.128231705849268,-1.6094379124341003,0.38,2.468099531471619,-2.900422093749666,3.9318256327243257,170.0,1.0004,3.34,-0.19845093872383832,8.9,6
1996,white,1.9459101490553132,-1.2729656758128873,0.33,2.681021528714291,-3.146555163288575,3.8501476017100584,168.0,0.9994,3.34,-0.40047756659712525,8.8,6
1997,white,2.128231705849268,-1.6094379124341003,0.38,2.468099531471619,-2.900422093749666,3.9318256327243257,170.0,1.0004,3.34,-0.19845093872383832,8.9,6
1998,white,2.128231705849268,-1.6094379124341003,0.38,2.468099531471619,-2.900422093749666,3.9318256327243257,170.0,1.0004,3.34,-0.19845093872383832,8.9,6
1999,white,1.9878743481543455,-1.7147984280919266,0.31,2.8507065015037334,-2.900422093749666,3.4657359027997265,197.0,1.0002,3.13,-0.7765287894989963,9.0,6
2000,white,1.916922612182061,-1.171182981502945,0.09,0.3364722366212129,-3.2188758248682006,4.02535169073515,145.0,0.9922,3.19,-0.7765287894989963,10.0,5
2001,white,1.9021075263969205,-1.171182981502945,0.08,0.26236426446749106,-3.270169119255751,4.060443010546419,147.0,0.9922,3.18,-0.7765287894989963,10.0,5
2002,white,2.028148247292285,-1.7719568419318752,0.35,0.47000362924573563,-3.0576076772720784,3.7612001156935624,154.0,0.9934,3.36,-0.37106368139083207,11.1,6
2003,white,2.0014800002101243,-1.2039728043259361,0.22,1.6582280766035324,-2.9374633654300153,3.4965075614664802,180.0,0.9926,3.13,-0.7985076962177716,11.6,6
2004,white,2.0014800002101243,-1.3470736479666092,0.31,0.8754687373538999,-3.146555163288575,4.060443010546419,178.0,0.9941,3.42,-0.3856624808119846,10.6,6
2005,white,1.9459101490553132,-1.2729656758128873,0.33,2.681021528714291,-3.146555163288575,3.8501476017100584,168.0,0.9994,3.34,-0.40047756659712525,8.8,6
2006,white,2.128231705849268,-1.6094379124341003,0.38,2.468099531471619,-2.900422093749666,3.9318256327243257,170.0,1.0004,3.34,-0.19845093872383832,8.9,6
2007,white,1.7227665977411035,-1.7147984280919266,0.31,0.4054651081081644,-3.270169119255751,2.772588722239781,84.0,0.9924,3.34,-0.5447271754416722,10.1,6
2008,white,1.9740810260220096,-1.8971199848858813,0.39,0.5877866649021191,-3.146555163288575,3.044522437723423,159.0,0.9948,3.52,-0.7550225842780328,10.0,5
2009,white,2.0794415416798357,-0.916290731874155,0.33,2.0412203288596382,-3.3813947543659757,3.295836866004329,98.0,0.9935,3.18,-0.8915981192837836,12.2,7
2010,white,1.9459101490553132,-1.3862943611198906,0.56,0.6931471805599453,-3.3524072174927233,2.995732273553991,95.0,0.9918,3.23,-0.6348782724359695,11.0,6
2011,white,1.9740810260220096,-1.8971199848858813,0.39,0.5877866649021191,-3.146555163288575,3.044522437723423,159.0,0.9948,3.52,-0.7550225842780328,10.0,5
2012,white,1.916922612182061,-1.7147984280919266,0.46,0.3364722366212129,-2.7488721956224653,3.6109179126442243,160.0,0.9924,3.37,-0.7985076962177716,11.1,5
2013,white,1.8870696490323797,-1.1394342831883648,0.22,2.8154087194227095,-3.079113882493042,3.6375861597263857,133.0,0.9979,3.22,-0.40047756659712525,10.4,6
2014,white,2.1972245773362196,-0.5978370007556204,0.3,2.0918640616783932,-3.649658740960655,2.6390573296152584,71.0,0.993,2.94,-1.0216512475319814,11.8,5
2015,white,1.9315214116032138,-1.6607312068216509,0.39,2.0794415416798357,-3.575550768806933,3.091042453358316,84.0,0.994,3.11,-0.4155154439616658,10.8,6
2016,white,1.840549633397487,-0.8915981192837836,0.33,1.547562508716013,-3.7722610630529876,3.332204510175204,110.0,0.991,3.3,-0.9675840262617056,12.5,7
2017,white,2.1972245773362196,-0.5978370007556204,0.3,2.0918640616783932,-3.649658740960655,2.6390573296152584,71.0,0.993,2.94,-1.0216512475319814,11.8,5
2018,white,1.9459101490553132,-1.6094379124341003,0.34,0.7419373447293773,-3.0159349808715104,2.4849066497880004,136.0,0.9922,3.25,-0.7765287894989963,11.6,7
2019,white,1.8870696490323797,-1.1394342831883648,0.22,2.8154087194227095,-3.079113882493042,3.6375861597263857,133.0,0.9979,3.22,-0.40047756659712525,10.4,6
2020,white,2.0412203288596382,-1.3470736479666092,0.34,1.8562979903656263,-2.995732273553991,3.58351893845611,163.0,0.9937,3.19,-0.35667494393873245,11.5,6
2021,white,1.840549633397487,-1.5606477482646683,0.28,0.4054651081081644,-2.9759296462578115,3.828641396489095,142.0,0.9928,3.23,-0.8675005677047231,10.1,6
2022,white,2.028148247292285,-1.0788096613719298,0.39,2.028148247292285,-3.2188758248682006,3.8066624897703196,215.0,0.9965,3.11,-0.6348782724359695,9.2,6
2023,white,1.840549633397487,-1.5606477482646683,0.28,0.4054651081081644,-2.9759296462578115,3.828641396489095,142.0,0.9928,3.23,-0.8675005677047231,10.1,6
2024,white,2.0794415416798357,-0.843970070294529,0.4,2.517696472610991,-1.783791299578878,3.367295829986474,190.0,0.9991,3.07,-0.4462871026284195,9.2,5
2025,white,2.0149030205422647,-1.2039728043259361,0.71,0.26236426446749106,-1.8325814637483102,3.784189633918261,149.0,0.9948,3.08,-0.8675005677047231,8.9,5
2026,white,1.8562979903656263,-1.3470736479666092,0.4,0.5306282510621704,-1.720369473141382,1.6094379124341003,60.0,0.9925,3.09,-0.616186139423817,10.1,5
2027,white,1.9315214116032138,-1.1394342831883648,0.15,2.0918640616783932,-3.079113882493042,3.9318256327243257,180.0,0.9958,3.13,-0.7985076962177716,8.9,5
2028,white,2.186051276738094,-1.5606477482646683,0.34,1.9600947840472698,-3.2968373663379125,3.4965075614664802,150.0,0.9962,3.1,-0.7985076962177716,9.7,6
2029,white,2.028148247292285,-1.0788096613719298,0.39,2.028148247292285,-3.2188758248682006,3.8066624897703196,215.0,0.9965,3.11,-0.6348782724359695,9.2,6
2030,white,2.2512917986064953,-0.8675005677047231,0.41,0.8329091229351039,-3.3813947543659757,3.091042453358316,145.0,0.9951,3.06,-0.6539264674066639,11.0,6
2031,white,2.028148247292285,-1.2378743560016174,0.26,1.8718021769015913,-3.170085660698769,3.4657359027997265,160.0,0.9944,3.14,-0.7550225842780328,10.7,5
2032,white,1.8718021769015913,-1.3862943611198906,0.2,0.3364722366212129,-3.7297014486341915,3.367295829986474,101.0,0.9916,3.24,-0.616186139423817,10.8,6
2033,white,1.9740810260220096,-1.4696759700589417,0.33,2.5416019934645457,-3.0159349808715104,3.912023005428146,183.0,0.9987,3.41,-0.916290731874155,9.8,5
2034,white,2.066862759472976,-1.0498221244986778,0.36,0.47000362924573563,-3.270169119255751,2.3978952727983707,124.0,0.9928,3.25,-0.7339691750802004,11.0,5
2035,white,2.174751721484161,-1.6094379124341003,0.28,0.09531017980432493,-4.017383521085972,2.8903717578961645,72.0,0.9926,2.97,-1.0498221244986778,10.4,5
2036,white,1.7404661748405046,-1.3093333199837622,0.32,0.1823215567939546,-3.079113882493042,2.995732273553991,155.0,0.9934,3.8,-0.8915981192837836,10.2,6
2037,white,2.028148247292285,-1.2378743560016174,0.26,1.8718021769015913,-3.170085660698769,3.4657359027997265,160.0,0.9944,3.14,-0.7550225842780328,10.7,5
2038,white,1.7047480922384253,-1.9661128563728327,0.27,1.5260563034950492,-3.540459448995663,3.091042453358316,104.0,0.9949,3.34,-0.8209805520698302,9.0,5
2039,white,2.163323025660538,-1.4271163556401458,0.35,-0.5108256237659907,-3.170085660698769,2.3978952727983707,71.0,0.9926,3.08,-0.9675840262617056,10.6,5
2040,white,1.9021075263969205,-1.2039728043259361,0.45,2.3608540011180215,-3.4420193761824103,4.02535169073515,212.0,0.997,3.22,-0.527632742082372,9.5,6
2041,white,1.7047480922384253,-1.9661128563728327,0.27,1.5260563034950492,-3.540459448995663,3.091042453358316,104.0,0.9949,3.34,-0.8209805520698302,9.0,5
2042,white,1.7227665977411035,-2.0402208285265546,0.27,1.5686159179138452,-3.575550768806933,3.091042453358316,104.0,0.9948,3.34,-0.7985076962177716,9.2,6
2043,white,2.0014800002101243,-1.7147984280919266,0.34,0.9932517730102834,-3.506557897319982,3.4011973816621555,107.0,0.992,2.97,-0.6348782724359695,11.0,6
2044,white,1.7404661748405046,-0.9545119446943529,0.04,2.533696813957432,-3.3813947543659757,3.091042453358316,115.0,0.9964,3.28,-0.4620354595965587,9.9,6
2045,white,2.163323025660538,-1.4271163556401458,0.35,-0.5108256237659907,-3.170085660698769,2.3978952727983707,71.0,0.9926,3.08,-0.9675840262617056,10.6,5
2046,white,2.1162555148025524,-1.1086626245216111,0.43,2.2192034840549946,-3.079113882493042,3.091042453358316,126.0,0.9982,3.38,-0.7550225842780328,9.3,5
2047,white,1.916922612182061,-1.0788096613719298,0.44,1.8870696490323797,-2.9565115604007097,3.332204510175204,156.0,0.9955,3.14,-0.8915981192837836,9.6,5
2048,white,1.916922612182061,-1.1086626245216111,0.44,1.9459101490553132,-2.995732273553991,3.367295829986474,155.0,0.9955,3.14,-0.8675005677047231,9.5,5
2049,white,1.840549633397487,-1.2729656758128873,0.24,2.134166441369082,-3.473768074496991,3.4657359027997265,172.0,0.9958,3.39,-0.5621189181535413,9.7,7
2050,white,2.468099531471619,-1.4696759700589417,0.38,2.4069451083182885,-3.3813947543659757,2.70805020110221,123.0,0.9997,2.93,-0.5978370007556204,9.7,3
2051,white,1.916922612182061,-1.5606477482646683,0.27,2.8986705607108596,-3.170085660698769,3.713572066704308,146.0,1.0001,3.3,-1.0216512475319814,8.7,5
2052,white,1.916922612182061,-1.5606477482646683,0.27,2.8986705607108596,-3.170085660698769,3.713572066704308,146.0,1.0001,3.3,-1.0216512475319814,8.7,5
2053,white,2.151762203259462,-0.7236063880446539,0.29,1.410986973710262,-3.649658740960655,2.9444389791664403,101.0,0.9918,3.01,-0.9675840262617056,12.4,5
2054,white,2.151762203259462,-0.7236063880446539,0.29,1.410986973710262,-3.649658740960655,2.9444389791664403,101.0,0.9918,3.01,-0.9675840262617056,12.4,5
2055,white,1.9878743481543455,-1.2378743560016174,0.29,1.5260563034950492,-3.540459448995663,3.295836866004329,155.0,0.9931,3.07,-1.3470736479666092,10.6,6
2056,white,1.916922612182061,-1.5606477482646683,0.27,2.8986705607108596,-3.170085660698769,3.713572066704308,146.0,1.0001,3.3,-1.0216512475319814,8.7,5
2057,white,1.9021075263969205,-1.171182981502945,0.31,1.589235205116581,-3.473768074496991,2.995732273553991,151.0,0.9926,3.36,-0.19845093872383832,12.0,7
2058,white,1.9878743481543455,-1.2378743560016174,0.37,2.1162555148025524,-3.123565645063876,3.8066624897703196,227.0,0.9966,3.12,-0.7550225842780328,9.0,5
2059,white,1.7404661748405046,-0.7765287894989963,0.46,0.3364722366212129,-3.2188758248682006,3.4339872044851463,169.0,0.9932,3.13,-0.7550225842780328,8.8,5
2060,white,1.916922612182061,-1.2729656758128873,0.44,2.4423470353692043,-3.2188758248682006,4.060443010546419,223.0,0.9969,3.22,-0.579818495252942,9.5,5
2061,white,1.9021075263969205,-1.4696759700589417,0.33,0.5877866649021191,-3.3242363405260273,3.1354942159291497,96.0,0.9925,3.32,-0.916290731874155,10.8,6
2062,white,1.9315214116032138,-1.7719568419318752,0.25,0.47000362924573563,-3.0576076772720784,3.5263605246161616,132.0,0.9914,3.16,-0.7339691750802004,11.4,5
2063,white,2.028148247292285,-1.7147984280919266,0.36,0.8754687373538999,-3.0159349808715104,3.6375861597263857,123.0,0.996,3.6,-0.7765287894989963,10.3,5
2064,white,1.8870696490323797,-1.5141277326297755,0.28,1.589235205116581,-3.170085660698769,3.9318256327243257,180.0,0.9952,3.3,-0.2876820724517809,9.5,6
2065,white,2.0541237336955462,-1.3093333199837622,0.28,0.5877866649021191,-2.995732273553991,3.044522437723423,127.0,0.9934,3.15,-0.8209805520698302,9.9,5
2066,white,2.0412203288596382,-1.2729656758128873,0.29,1.4586150226995167,-2.9759296462578115,3.2188758248682006,142.0,0.9939,3.16,-0.941608539858445,10.2,5
2067,white,2.028148247292285,-1.2378743560016174,0.29,1.4816045409242156,-2.9759296462578115,3.258096538021482,146.0,0.9939,3.16,-0.941608539858445,10.2,5
2068,white,1.7404661748405046,-1.1394342831883648,0.18,0.3364722366212129,-3.540459448995663,3.258096538021482,104.0,0.9906,3.44,-0.9942522733438669,11.0,6
2069,white,1.9600947840472698,-1.1086626245216111,0.25,0.47000362924573563,-3.506557897319982,3.2188758248682006,126.0,0.9901,3.22,-1.0788096613719298,12.1,7
2070,white,1.9878743481543455,-1.0788096613719298,0.3,0.26236426446749106,-2.864704011147587,3.2188758248682006,173.0,0.9948,3.26,-0.6733445532637656,9.1,6
2071,white,1.8718021769015913,-1.6607312068216509,0.26,1.6486586255873816,-3.2188758248682006,3.4339872044851463,140.0,0.995,3.26,-0.3856624808119846,9.5,6
2072,white,1.8870696490323797,-1.4696759700589417,0.27,1.7227665977411035,-3.146555163288575,3.7612001156935624,164.0,0.9953,3.27,-0.2744368457017603,9.5,5
2073,white,1.8870696490323797,-1.3093333199837622,0.29,1.667706820558076,-3.101092789211817,4.04305126783455,189.0,0.9953,3.31,-0.23572233352106983,9.8,5
2074,white,1.8870696490323797,-1.5141277326297755,0.28,1.589235205116581,-3.170085660698769,3.9318256327243257,180.0,0.9952,3.3,-0.2876820724517809,9.5,6
2075,white,2.028148247292285,-1.7147984280919266,0.36,0.8754687373538999,-3.0159349808715104,3.6375861597263857,123.0,0.996,3.6,-0.7765287894989963,10.3,5
2076,white,1.916922612182061,-1.0216512475319814,0.32,0.47000362924573563,-3.2441936328524905,2.302585092994046,124.0,0.9948,3.3,-0.40047756659712525,9.6,5
2077,white,1.9459101490553132,-1.5141277326297755,0.39,0.7419373447293773,-2.900422093749666,3.6635616461296463,198.0,0.9951,3.52,-0.616186139423817,10.2,6
2078,white,1.7749523509116738,-1.7719568419318752,0.3,0.3364722366212129,-3.170085660698769,3.2188758248682006,119.0,0.9931,3.68,-0.3285040669720361,10.5,6
2079,white,2.0014800002101243,-0.7985076962177716,0.32,1.9600947840472698,-3.123565645063876,2.833213344056216,117.0,0.9962,3.32,-0.8915981192837836,10.4,4
2080,white,1.916922612182061,-1.0216512475319814,0.32,0.47000362924573563,-3.2441936328524905,2.302585092994046,124.0,0.9948,3.3,-0.40047756659712525,9.6,5
2081,white,2.0149030205422647,-0.8675005677047231,0.14,2.3702437414678603,-3.079113882493042,2.8903717578961645,95.0,0.9959,3.22,-1.1086626245216111,10.7,5
2082,white,2.0149030205422647,-1.1086626245216111,0.32,2.4069451083182885,-3.3242363405260273,3.2188758248682006,119.0,0.9962,3.15,-1.0788096613719298,10.5,6
2083,white,2.2407096892759584,-1.2039728043259361,0.32,2.3702437414678603,-3.540459448995663,2.6390573296152584,111.0,0.9958,2.85,-0.8675005677047231,10.6,5
2084,white,2.066862759472976,-1.7719568419318752,0.32,0.47000362924573563,-2.9374633654300153,3.8501476017100584,150.0,0.9948,3.29,-0.2744368457017603,9.6,6
2085,white,2.066862759472976,-1.7719568419318752,0.32,0.47000362924573563,-2.9374633654300153,3.8501476017100584,150.0,0.9948,3.29,-0.2744368457017603,9.6,6
2086,white,2.1041341542702074,-1.7719568419318752,0.32,0.4054651081081644,-2.995732273553991,2.833213344056216,101.0,0.994,3.14,-0.5447271754416722,9.5,5
2087,white,2.1162555148025524,-1.7719568419318752,0.31,0.4054651081081644,-3.0159349808715104,3.871201010907891,153.0,0.9942,3.12,-0.5447271754416722,9.4,6
2088,white,2.163323025660538,-1.8971199848858813,0.3,0.47000362924573563,-3.079113882493042,3.367295829986474,130.0,0.9942,3.22,-0.9675840262617056,9.8,6
2089,white,2.066862759472976,-1.7719568419318752,0.32,0.47000362924573563,-2.9374633654300153,3.8501476017100584,150.0,0.9948,3.29,-0.2744368457017603,9.6,6
2090,white,1.9740810260220096,-1.3862943611198906,0.19,2.0794415416798357,-3.123565645063876,3.9318256327243257,172.0,0.9964,3.16,-0.8209805520698302,9.2,5
2091,white,1.9740810260220096,-1.4271163556401458,0.19,2.0412203288596382,-3.101092789211817,3.970291913552122,176.0,0.9958,3.17,-0.9675840262617056,9.5,5
2092,white,1.667706820558076,-0.2744368457017603,0.03,0.9932517730102834,-3.146555163288575,3.295836866004329,93.0,0.9932,3.34,-0.9675840262617056,9.2,5
2093,white,1.8870696490323797,-1.5141277326297755,0.53,2.714694743820879,-2.9565115604007097,3.091042453358316,136.0,0.9986,2.94,-1.0498221244986778,9.4,5
2094,white,1.8870696490323797,-1.5141277326297755,0.53,2.714694743820879,-2.9565115604007097,3.091042453358316,136.0,0.9986,2.94,-1.0498221244986778,9.4,5
2095,white,2.128231705849268,-1.2729656758128873,0.4,2.186051276738094,-3.036554268074246,3.4965075614664802,146.0,0.9988,3.4,-0.7765287894989963,9.3,5
2096,white,1.916922612182061,-1.1394342831883648,0.34,1.791759469228055,-2.995732273553991,1.6094379124341003,129.0,0.9953,3.19,-0.916290731874155,9.1,5
2097,white,1.9021075263969205,-1.4271163556401458,0.33,2.509599262378372,-3.079113882493042,3.4339872044851463,145.0,0.9983,3.36,-0.916290731874155,9.5,5
2098,white,2.0014800002101243,-1.7147984280919266,0.36,2.5726122302071057,-2.8824035882469876,4.276666119016055,163.0,1.0,3.42,-1.0498221244986778,9.1,6
2099,white,1.791759469228055,-1.8325814637483102,0.3,1.9021075263969205,-3.146555163288575,3.7612001156935624,153.0,0.9951,3.63,-0.7765287894989963,10.6,5
2100,white,1.9021075263969205,-1.4271163556401458,0.33,2.509599262378372,-3.079113882493042,3.4339872044851463,145.0,0.9983,3.36,-0.916290731874155,9.5,5
2101,white,1.916922612182061,-1.2729656758128873,0.35,0.8329091229351039,-3.170085660698769,2.772588722239781,85.0,0.9906,3.19,-0.579818495252942,12.4,6
2102,white,1.824549292051046,-1.0788096613719298,0.3,2.4069451083182885,-3.0576076772720784,3.332204510175204,237.0,0.9981,3.18,-0.7133498878774648,8.7,5
2103,white,1.791759469228055,-1.3093333199837622,0.15,0.4054651081081644,-2.8824035882469876,3.5553480614894135,128.0,0.9936,3.12,-0.7985076962177716,8.8,5
2104,white,1.791759469228055,-1.8325814637483102,0.3,1.9021075263969205,-3.146555163288575,3.7612001156935624,153.0,0.9951,3.63,-0.7765287894989963,10.6,5
2105,white,1.916922612182061,-1.1394342831883648,0.34,1.791759469228055,-2.995732273553991,1.6094379124341003,129.0,0.9953,3.19,-0.916290731874155,9.1,5
2106,white,2.1400661634962708,-1.4271163556401458,0.47,2.7212954278522306,-2.864704011147587,3.6888794541139363,234.0,1.0005,3.02,-0.4155154439616658,9.0,5
2107,white,2.0918640616783932,-1.4271163556401458,0.33,2.322387720290225,-3.036554268074246,3.828641396489095,141.0,0.9972,3.16,-0.7339691750802004,10.3,6
2108,white,2.0014800002101243,-1.7147984280919266,0.36,2.5726122302071057,-2.8824035882469876,4.276666119016055,163.0,1.0,3.42,-1.0498221244986778,9.1,6
2109,white,2.0412203288596382,-1.4696759700589417,0.31,2.3702437414678603,-3.270169119255751,4.07753744390572,186.0,0.9969,3.12,-0.5978370007556204,9.5,6
2110,white,1.8718021769015913,-1.5141277326297755,0.25,2.8390784635086144,-2.995732273553991,3.784189633918261,138.0,1.0001,3.3,-0.9942522733438669,8.8,5
2111,white,1.8718021769015913,-1.5141277326297755,0.25,2.8390784635086144,-2.995732273553991,3.784189633918261,138.0,1.0001,3.3,-0.9942522733438669,8.8,5
2112,white,1.8718021769015913,-1.5141277326297755,0.25,2.8390784635086144,-2.995732273553991,3.784189633918261,138.0,1.0001,3.3,-0.9942522733438669,8.8,5
2113,white,1.7404661748405046,-1.1086626245216111,0.15,0.6418538861723947,-2.995732273553991,2.995732273553991,93.0,0.9934,3.38,-0.4780358009429998,9.9,5
2114,white,2.0412203288596382,-1.4696759700589417,0.31,2.3702437414678603,-3.270169119255751,4.07753744390572,186.0,0.9969,3.12,-0.5978370007556204,9.5,6
2115,white,1.8718021769015913,-1.5141277326297755,0.25,2.8390784635086144,-2.995732273553991,3.784189633918261,138.0,1.0001,3.3,-0.9942522733438669,8.8,5
2116,white,1.916922612182061,-1.6094379124341003,0.27,0.1823215567939546,-3.3813947543659757,2.9444389791664403,68.0,0.9902,3.14,-0.9942522733438669,11.7,4
2117,white,2.0412203288596382,-1.3470736479666092,0.32,0.1823215567939546,-3.2188758248682006,3.258096538021482,117.0,0.993,3.21,-0.579818495252942,10.8,5
2118,white,1.8562979903656263,-1.6094379124341003,0.32,1.1314021114911006,-3.1941832122778293,2.8903717578961645,126.0,0.9914,3.43,-0.8675005677047231,12.0,6
2119,white,2.0794415416798357,-1.8325814637483102,0.36,0.4054651081081644,-3.4112477175156566,2.6390573296152584,122.0,0.9941,3.2,-0.941608539858445,10.3,4
2120,white,1.916922612182061,-1.3862943611198906,0.27,2.3702437414678603,-2.577021938695806,3.8501476017100584,154.0,0.9967,3.05,-0.9675840262617056,9.0,5
2121,white,2.0412203288596382,-0.941608539858445,0.28,1.589235205116581,-3.3524072174927233,3.58351893845611,109.0,0.9918,3.19,-0.5447271754416722,12.2,7
2122,white,1.9315214116032138,-1.3470736479666092,0.33,2.533696813957432,-2.9759296462578115,4.07753744390572,173.0,0.998,3.39,-0.9675840262617056,9.9,5
2123,white,1.916922612182061,-1.3862943611198906,0.27,2.3702437414678603,-2.577021938695806,3.8501476017100584,154.0,0.9967,3.05,-0.9675840262617056,9.0,5
2124,white,2.0412203288596382,-0.941608539858445,0.28,1.589235205116581,-3.3524072174927233,3.58351893845611,109.0,0.9918,3.19,-0.5447271754416722,12.2,7
2125,white,1.791759469228055,-1.2729656758128873,0.22,2.4973291697865574,-3.036554268074246,3.7376696182833684,163.0,0.9957,3.2,-0.7765287894989963,10.1,5
2126,white,1.8718021769015913,-0.843970070294529,0.28,2.4849066497880004,-2.8824035882469876,3.1354942159291497,174.0,0.9986,3.31,-0.5978370007556204,9.3,5
2127,white,2.2082744135228043,-1.1086626245216111,0.38,0.5306282510621704,-2.7806208939370456,3.9219733362813143,344.0,0.9958,3.1,-0.35667494393873245,9.5,5
2128,white,1.7749523509116738,-0.6931471805599453,0.05,0.9555114450274363,-2.9187712324178627,3.58351893845611,146.0,0.9948,3.43,-0.6931471805599453,9.2,6
2129,white,1.916922612182061,-1.2729656758128873,0.39,0.3364722366212129,-3.3242363405260273,2.70805020110221,115.0,0.9918,3.27,-0.3285040669720361,11.7,5
2130,white,1.9459101490553132,-1.0498221244986778,0.24,0.6418538861723947,-3.2188758248682006,3.044522437723423,144.0,0.9923,3.35,-0.9675840262617056,11.0,5
2131,white,1.9600947840472698,-1.5141277326297755,0.32,2.8273136219290276,-2.8824035882469876,3.8918202981106265,158.0,0.9998,3.37,-0.9675840262617056,9.6,6
2132,white,1.9600947840472698,-1.5141277326297755,0.32,2.8273136219290276,-2.8824035882469876,3.8918202981106265,158.0,0.9998,3.37,-0.9675840262617056,9.6,6
2133,white,2.1162555148025524,-1.4271163556401458,0.27,0.7419373447293773,-3.506557897319982,3.091042453358316,162.0,0.9914,2.99,-0.3856624808119846,11.9,6
2134,white,1.916922612182061,-1.3470736479666092,0.32,1.9459101490553132,-3.1941832122778293,3.6375861597263857,118.0,0.9939,3.25,-0.6539264674066639,10.8,6
2135,white,1.9740810260220096,-1.8325814637483102,0.26,1.9600947840472698,-2.9187712324178627,3.713572066704308,224.0,0.9966,3.38,-0.5978370007556204,10.1,5
2136,white,2.066862759472976,-1.7147984280919266,0.36,1.7749523509116738,-2.8473122684357177,3.4339872044851463,132.0,0.995,3.25,-0.6539264674066639,10.9,6
2137,white,1.9740810260220096,-1.8325814637483102,0.26,1.9600947840472698,-2.9187712324178627,3.713572066704308,224.0,0.9966,3.38,-0.5978370007556204,10.1,5
2138,white,1.7047480922384253,-1.4271163556401458,0.32,2.163323025660538,-2.8134107167600364,2.9444389791664403,102.0,0.994,3.27,-1.171182981502945,10.4,5
2139,white,1.9600947840472698,-1.1086626245216111,0.64,2.580216829592325,-2.8824035882469876,2.4849066497880004,105.0,0.9972,3.05,-0.941608539858445,9.2,5
2140,white,2.0412203288596382,-1.2729656758128873,0.35,2.72785282839839,-2.8824035882469876,3.4339872044851463,117.0,0.9998,3.27,-0.6931471805599453,9.6,5
2141,white,2.0412203288596382,-1.2729656758128873,0.35,2.72785282839839,-2.8824035882469876,3.4339872044851463,117.0,0.9998,3.27,-0.6931471805599453,9.6,5
2142,white,2.0149030205422647,-1.3470736479666092,0.52,2.580216829592325,-3.0576076772720784,4.1588830833596715,179.0,0.9982,3.1,-0.7765287894989963,9.0,5
2143,white,1.8718021769015913,-1.9661128563728327,0.32,0.9932517730102834,-3.2968373663379125,2.8903717578961645,89.0,0.9924,3.4,-0.3011050927839216,11.5,7
2144,white,2.1041341542702074,-1.5606477482646683,0.32,2.365559892155434,-2.9374633654300153,3.970291913552122,145.0,0.9972,3.17,-0.7339691750802004,10.2,6
2145,white,1.9740810260220096,-1.6094379124341003,0.31,2.302585092994046,-2.9187712324178627,3.8918202981106265,165.0,0.997,3.4,-0.8675005677047231,9.9,6
2146,white,1.9740810260220096,-2.162823150618887,0.3,1.916922612182061,-2.8824035882469876,3.258096538021482,105.0,0.9954,3.44,-0.916290731874155,9.6,6
2147,white,1.8562979903656263,-1.2378743560016174,0.2,2.747270914255491,-3.2188758248682006,2.995732273553991,142.0,0.9962,3.1,-0.616186139423817,10.6,5
2148,white,1.9600947840472698,-1.1086626245216111,0.64,2.580216829592325,-2.8824035882469876,2.4849066497880004,105.0,0.9972,3.05,-0.941608539858445,9.2,5
2149,white,1.916922612182061,-1.4271163556401458,0.34,1.62924053973028,-3.270169119255751,3.4339872044851463,99.0,0.9921,3.24,-0.7765287894989963,11.8,6
2150,white,1.9459101490553132,-1.4271163556401458,0.34,1.0986122886681098,-3.3524072174927233,3.58351893845611,102.0,0.9905,3.18,-0.843970070294529,12.2,6
2151,white,2.0412203288596382,-1.2729656758128873,0.35,2.72785282839839,-2.8824035882469876,3.4339872044851463,117.0,0.9998,3.27,-0.6931471805599453,9.6,5
2152,white,1.9459101490553132,-1.5141277326297755,0.33,0.7419373447293773,-2.9565115604007097,2.70805020110221,76.0,0.993,3.2,-0.8915981192837836,10.6,6
2153,white,2.0149030205422647,-1.7147984280919266,0.39,0.6418538861723947,-2.9187712324178627,3.1354942159291497,91.0,0.9941,3.27,-0.7985076962177716,10.3,6
2154,white,2.2823823856765264,-0.07257069283483537,0.45,2.151762203259462,-2.9565115604007097,3.5263605246161616,187.0,0.9994,3.12,-0.527632742082372,10.2,4
2155,white,2.0541237336955462,-1.2378743560016174,0.33,2.169053700369523,-3.3524072174927233,3.4965075614664802,181.0,0.9962,3.11,-0.7765287894989963,10.7,5
2156,white,2.066862759472976,-1.2729656758128873,0.32,1.2809338454620642,-3.270169119255751,2.1972245773362196,76.0,0.992,3.05,-1.171182981502945,11.7,4
